states,states_code,id,year,population
Nevada,NV,32,2013,2775970
New Hampshire,NH,33,2013,1326622
New Jersey,NJ,34,2013,8856972
New Mexico,NM,35,2013,2092273
New York,NY,36,2013,19624447
North Carolina,NC,37,2013,9843336
North Dakota,ND,38,2013,722036
Ohio,OH,39,2013,11576684
Oklahoma,OK,40,2013,3853214
Oregon,OR,41,2013,3922468
Pennsylvania,PA,42,2013,12776309
Rhode Island,RI,44,2013,1055081
South Carolina,SC,45,2013,4764080
South Dakota,SD,46,2013,842316
Tennessee,TN,47,2013,6494340
Texas,TX,48,2013,26480266
Utah,UT,49,2013,2897640
Vermont,VT,50,2013,626210
Virginia,VA,51,2013,8252427
Washington,WA,53,2013,6963985
West Virginia,WV,54,2013,1853914
Wisconsin,WI,55,2013,5736754
Wyoming,WY,56,2013,582122
Puerto Rico,PR,72,2013,3593077
Alabama,AL,1,2014,4841799
Alaska,AK,2,2014,736283
Arizona,AZ,4,2014,6730413
Arkansas,AR,5,2014,2967392
California,CA,6,2014,38596972
Colorado,CO,8,2014,5350101
Connecticut,CT,9,2014,3594524
Delaware,DE,10,2014,932487
District of Columbia,DC,11,2014,662328
Florida,FL,12,2014,19845911
Georgia,GA,13,2014,10067278
Hawaii,HI,15,2014,1414538
Idaho,ID,16,2014,1631112
Illinois,IL,17,2014,12884493
Indiana,IN,18,2014,6593644
Iowa,IA,19,2014,3109350
Kansas,KS,20,2014,2900475
Kentucky,KY,21,2014,4414349
Louisiana,LA,22,2014,4644013
Maine,ME,23,2014,1330513
Maryland,MD,24,2014,5957283
Massachusetts,MA,25,2014,6762596
Michigan,MI,26,2014,9929848
Minnesota,MN,27,2014,5451079
Mississippi,MS,28,2014,2990468
Missouri,MO,29,2014,6056202
Montana,MT,30,2014,1021869
Nebraska,NE,31,2014,1879321
Nevada,NV,32,2014,2817628
New Hampshire,NH,33,2014,1333341
New Jersey,NJ,34,2014,8864525
New Mexico,NM,35,2014,2089568
New York,NY,36,2014,19651049
North Carolina,NC,37,2014,9932887
North Dakota,ND,38,2014,737401
Ohio,OH,39,2014,11602700
Oklahoma,OK,40,2014,3878187
Oregon,OR,41,2014,3963244
Pennsylvania,PA,42,2014,12788313
Rhode Island,RI,44,2014,1055936
South Carolina,SC,45,2014,4823617
South Dakota,SD,46,2014,849129
Tennessee,TN,47,2014,6541223
Texas,TX,48,2014,26964333
Utah,UT,49,2014,2936879
Vermont,VT,50,2014,625214
Virginia,VA,51,2014,8310993
Washington,WA,53,2014,7054655
West Virginia,WV,54,2014,1849489
Wisconsin,WI,55,2014,5751525
Wyoming,WY,56,2014,582531
Puerto Rico,PR,72,2014,3534874
Alabama,AL,1,2015,4852347
Alaska,AK,2,2015,737498
Arizona,AZ,4,2015,6829676
Arkansas,AR,5,2015,2978048
California,CA,6,2015,38918045
Colorado,CO,8,2015,5450623
Connecticut,CT,9,2015,3587122
Delaware,DE,10,2015,941252
District of Columbia,DC,11,2015,675400
Florida,FL,12,2015,20209042
Georgia,GA,13,2015,10178447
Hawaii,HI,15,2015,1422052
Idaho,ID,16,2015,1651059
Illinois,IL,17,2015,12858913
Indiana,IN,18,2015,6608422
Iowa,IA,19,2015,3120960
Kansas,KS,20,2015,2909011
Kentucky,KY,21,2015,4425976
Louisiana,LA,22,2015,4664628
Maine,ME,23,2015,1328262
Maryland,MD,24,2015,5985562
Massachusetts,MA,25,2015,6794228
Michigan,MI,26,2015,9931715
Minnesota,MN,27,2015,5482032
Mississippi,MS,28,2015,2988471
Missouri,MO,29,2015,6071732
Montana,MT,30,2015,1030475
Nebraska,NE,31,2015,1891277
Nevada,NV,32,2015,2866939
New Hampshire,NH,33,2015,1336350
New Jersey,NJ,34,2015,8867949
New Mexico,NM,35,2015,2089291
New York,NY,36,2015,19654666
North Carolina,NC,37,2015,10031646
North Dakota,ND,38,2015,754066
Ohio,OH,39,2015,11617527
Oklahoma,OK,40,2015,3909500
Oregon,OR,41,2015,4015792
Pennsylvania,PA,42,2015,12784826
Rhode Island,RI,44,2015,1056065
South Carolina,SC,45,2015,4891938
South Dakota,SD,46,2015,853988
Tennessee,TN,47,2015,6591170
Texas,TX,48,2015,27470056
Utah,UT,49,2015,2981835
Vermont,VT,50,2015,625216
Virginia,VA,51,2015,8361808
Washington,WA,53,2015,7163657
West Virginia,WV,54,2015,1842050
Wisconsin,WI,55,2015,5760940
Wyoming,WY,56,2015,585613
Puerto Rico,PR,72,2015,3473232
Alabama,AL,1,2016,4863525
Alaska,AK,2,2016,741456
Arizona,AZ,4,2016,6941072
Arkansas,AR,5,2016,2989918
California,CA,6,2016,39167117
Colorado,CO,8,2016,5539215
Connecticut,CT,9,2016,3578141
Delaware,DE,10,2016,948921
District of Columbia,DC,11,2016,685815
Florida,FL,12,2016,20613477
Georgia,GA,13,2016,10301890
Hawaii,HI,15,2016,1427559
Idaho,ID,16,2016,1682380
Illinois,IL,17,2016,12820527
Indiana,IN,18,2016,6634304
Iowa,IA,19,2016,3131371
Kansas,KS,20,2016,2910844
Kentucky,KY,21,2016,4438182
Louisiana,LA,22,2016,4678135
Maine,ME,23,2016,1331317
Maryland,MD,24,2016,6003323
Massachusetts,MA,25,2016,6823608
Michigan,MI,26,2016,9950571
Minnesota,MN,27,2016,5522744
Mississippi,MS,28,2016,2987938
Missouri,MO,29,2016,6087135
Montana,MT,30,2016,1040859
Nebraska,NE,31,2016,1905616
Nevada,NV,32,2016,2917563
New Hampshire,NH,33,2016,1342307
New Jersey,NJ,34,2016,8870827
New Mexico,NM,35,2016,2091630
New York,NY,36,2016,19633428
North Carolina,NC,37,2016,10154788
North Dakota,ND,38,2016,754434
Ohio,OH,39,2016,11634370
Oklahoma,OK,40,2016,3926331
Oregon,OR,41,2016,4089976
Pennsylvania,PA,42,2016,12782275
Rhode Island,RI,44,2016,1056770
South Carolina,SC,45,2016,4957968
South Dakota,SD,46,2016,862996
Tennessee,TN,47,2016,6646010
Texas,TX,48,2016,27914410
Utah,UT,49,2016,3041868
Vermont,VT,50,2016,623657
Virginia,VA,51,2016,8410106
Washington,WA,53,2016,7294771
West Virginia,WV,54,2016,1831023
Wisconsin,WI,55,2016,5772628
Wyoming,WY,56,2016,584215
